Comment,Designator,Footprint,LCSC
10uF,"C1,C4,C6,C7,C21,C34,C35,C36,C37",Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
100nF,"C2,C12,C24,C25",tool2:0603,
10nF,"C3,C11",tool2:0603,
0.1uF,"C5,C8,C13,C14,C15,C16,C18,C20,C26,C27,C28,C29,C30,C31,C32,C33,C44",tool2:0603,
0.01uF,"C9,C10",tool2:0603,
2.2uF,"C17,C19",Capacitor_SMD:C_0805_2012Metric,
2.2nF,"C22,C23",tool2:0603,
WP934MD/2ID,D1,tool2:WP934MD_2ID,
MBR0560,"D2,D4,D5,D6,D7,D8,D9,D10",Diode_SMD:D_SOD-123,
SM6T68A,D3,Diode_SMD:D_SMB,
6P6C,"J1,J2",Connector_RJ:RJ12_Amphenol_54601-x06_Horizontal,
MEM2080-00-128-00-A,J7,tool2:MEM2080,
PINHD-1X4,JP3,tool2:1X04,
1M,"R1,R2,R7,R13,R27,R28,R29,R30",tool2:0603,
DNP,"R3,R6,R16,R18,R19,R22",tool2:0603,
10,"R4,R5,R17,R21,R23,R24,R25,R33,R38,R39,R40,R41,R43,R44,R45,R61",tool2:0603,
1k,"R8,R10,R46,R47",tool2:0603,
10k,"R9,R11,R12,R15,R31,R32,R34,R42,R62",tool2:0603,
470,"R14,R26",tool2:0603,
0,"R20,R36,R37",tool2:0603,
2k,"R48,R49",tool2:0603,
EVQ-PF008K,"SW1,SW2",tool2:EVQ-PF008K,
5011,TP7,tool2:5010,
ESP32-DEVKITC-32D,U1,tool2:MODULE_ESP32-DEVKITC-32D,
PCM5102,U2,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,
TMUX1208PW,"U3,U5",Package_SO:TSSOP-16_4.4x5mm_P0.65mm,
AMS1117-3.3,U4,Package_TO_SOT_SMD:SOT-223-3_TabPin2,
~,"U6,U9",rob:SIP-18,
TCA9534,U7,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,
SN74LV1T34DBV,"U8,U10,U11,U12",Package_TO_SOT_SMD:SOT-23-5,
