Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,140.65,-134.7375,90,top
C2,100nF,603,159,-63,90,top
C3,10nF,603,131,-110.5,0,top
C4,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,144,-134.7375,90,top
C5,0.1uF,603,147,-134.65,90,top
C6,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,128,-134.7375,-90,top
C7,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,124.65,-134.7375,-90,top
C8,0.1uF,603,121.5,-134.8,-90,top
C9,0.01uF,603,173.9531,-144.2556,180,top
C10,0.01uF,603,173.9531,-138.1596,180,top
C11,10nF,603,143.9,-110.5,0,top
C12,100nF,603,159,-76,-90,top
C13,0.1uF,603,162.5,-60,180,top
C14,0.1uF,603,161.8625,-91.425,0,top
C15,0.1uF,603,165.8625,-91.425,180,top
C16,0.1uF,603,162.5,-69.5,180,top
C17,2.2uF,C_0805_2012Metric,156.8625,-94.25,180,top
C18,0.1uF,603,170.8625,-92.925,0,top
C19,2.2uF,C_0805_2012Metric,157.3625,-91.25,-90,top
C20,0.1uF,603,156.8625,-96.925,180,top
C21,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,163.8625,-101.925,0,top
C22,2.2nF,603,153.3625,-99.425,0,top
C23,2.2nF,603,153.3625,-93.425,0,top
C24,100nF,603,159,-72.5,90,top
C25,100nF,603,159,-66.5,-90,top
C26,0.1uF,603,175.5,-81,0,top
C27,0.1uF,603,145,-87,0,top
C28,0.1uF,603,145,-93,0,top
C29,0.1uF,603,131,-87,0,top
C30,0.1uF,603,131,-93,0,top
C31,0.1uF,603,175.5,-64.5,0,top
C32,0.1uF,603,128.4871,-153.6536,0,top
C33,0.1uF,603,175.5,-74.5,0,top
C34,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,123.4,-128.8,-90,top
C35,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,126,-128.8,-90,top
C36,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,128.6,-128.8,-90,top
C37,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,120.8,-128.8,-90,top
C44,0.1uF,603,161.5071,-146.5416,0,top
D1,WP934MD/2ID,WP934MD_2ID,173.9531,-160.0036,0,top
D2,MBR0560,D_SOD-123,125.15,-70.5,180,top
D3,SM6T68A,D_SMB,136.5,-74,-90,top
D4,MBR0560,D_SOD-123,131.15,-70.5,0,top
D5,MBR0560,D_SOD-123,131.15,-73,180,top
D6,MBR0560,D_SOD-123,125.15,-73,0,top
D7,MBR0560,D_SOD-123,144,-72.5,0,top
D8,MBR0560,D_SOD-123,144,-70,180,top
D9,MBR0560,D_SOD-123,149.5,-72.5,180,top
D10,MBR0560,D_SOD-123,149.5,-70,0,top
J1,6P6C,RJ12_Amphenol_54601-x06_Horizontal,131.18,-64.54,180,top
J2,6P6C,RJ12_Amphenol_54601-x06_Horizontal,151.2,-64.54,180,top
JP3,PINHD-1X4,1X04_325,141.6431,-150.0886,0,top
R1,1M,603,163,-63,-90,top
R2,1M,603,161,-63,90,top
R3,DNP,603,128.5,-68,0,top
R4,10,603,175.5,-62.5,0,top
R5,10,603,175.5,-72.5,0,top
R6,DNP,603,147,-67.5,0,top
R7,1M,603,163,-76,90,top
R8,1k,603,173.9531,-148.3196,180,top
R9,10k,603,157.9511,-148.5736,180,top
R10,1k,603,173.9531,-146.2876,180,top
R11,10k,603,173.9531,-140.1916,180,top
R12,10k,603,173.9531,-142.2236,180,top
R13,1M,603,161,-76,-90,top
R14,470,603,153.3625,-95.425,0,top
R15,10k,603,157.9511,-146.5416,180,top
R16,DNP,603,174.95,-100.925,0,top
R17,10,603,175.05,-94.925,0,top
R18,DNP,603,156.8625,-100.925,180,top
R19,DNP,603,175.05,-96.925,0,top
R20,0,603,122.6451,-150.4786,90,top
R21,10,603,170.8625,-96.925,180,top
R22,DNP,603,170.8625,-94.925,180,top
R23,10,603,156.8625,-98.925,0,top
R24,10,603,170.8625,-100.925,180,top
R25,10,603,170.8625,-98.925,180,top
R26,470,603,153.3625,-97.425,0,top
R27,1M,603,161,-72.5,-90,top
R28,1M,603,163,-72.5,90,top
R29,1M,603,161,-66.5,90,top
R30,1M,603,163,-66.5,-90,top
R31,10k,603,156.1731,-143,0,top
R32,10k,603,161.5,-144.5,180,top
R33,10,603,162,-85,180,top
R34,10k,603,173.9531,-117.5856,0,top
R36,0,603,137.7581,-153.6536,90,top
R37,0,603,140.2981,-153.6536,90,top
R38,10,603,148.5531,-153.0186,180,top
R39,10,603,148.5531,-150.9866,180,top
R40,10,603,162,-83,180,top
R41,10,603,162,-81,180,top
R42,10k,603,159,-118.4,180,top
R43,10,603,173.9531,-134.0956,0,top
R44,10,603,173.9531,-132.0636,0,top
R45,10,603,173.9531,-130.0316,0,top
R46,1k,603,159,-120.5,0,top
R47,1k,603,159,-124.5,0,top
R48,2k,603,159,-126.5,0,top
R49,2k,603,159,-122.5,0,top
R61,10,603,173.9531,-136.1276,0,top
R62,10k,603,156.1731,-140.4456,180,top
SW1,EVQ-PF008K,EVQ-PF008K,166.5871,-154.4156,0,top
SW2,EVQ-PF008K,EVQ-PF008K,157.6971,-154.4156,0,top
TP7,5011,5010,119.8511,-151.1136,0,top
U1,ESP32-DEVKITC-32D,MODULE_ESP32-DEVKITC-32D,165.0631,-132.3176,0,top
U2,PCM5102,TSSOP-20_4.4x6.5mm_P0.65mm,164,-96.5,0,top
U3,TMUX1208PW,TSSOP-16_4.4x5mm_P0.65mm,169,-64,0,top
U4,AMS1117-3.3,SOT-223-3_TabPin2,134.25,-134.8,-90,top
U5,TMUX1208PW,TSSOP-16_4.4x5mm_P0.65mm,169,-74,0,top
U6,~,SIP-18,140,-101.51,-90,top
U7,TCA9534,TSSOP-16_4.4x5mm_P0.65mm,169,-84,0,top
U8,SN74LV1T34DBV,SOT-23-5,145,-84,180,top
U9,~,SIP-18,125.5,-101.51,-90,top
U10,SN74LV1T34DBV,SOT-23-5,145,-90,180,top
U11,SN74LV1T34DBV,SOT-23-5,131,-90,180,top
U12,SN74LV1T34DBV,SOT-23-5,131,-84,180,top
